user_id,movie_id,rating,username,password
59,37136,3,user5,HP0qJG3H
52,1060090,3,user33,OZ6uBA59
19,2024,5,user12,YHfdoirm
26,631843,4,user63,ne8BQeA9
71,1051896,5,user63,gDSJ7hpm
38,707610,2,user77,YUW6X8SK
19,1094274,2,user3,4seezOZy
14,8009,1,user87,DnmCBK8i
73,18823,2,user77,5Qh2RkmN
38,820525,2,user52,mLfx5Ehu
2,1075794,5,user77,PGrKEyPI
31,27578,4,user14,Vn1dfbNB
23,157336,2,user47,irDXZyca
39,866398,5,user70,Y930qnHO
73,11395,2,user30,CHwdg116
74,928480,3,user65,CQarT0oT
64,10771,3,user76,OsO93JPm
60,1003596,1,user14,jend6FUm
1,274855,3,user46,PUgZHNJ8
74,335984,2,user83,LrqS5JMO
100,5825,1,user27,Hw0JzlXj
40,245891,5,user28,EJ9kMuJJ
78,1264429,4,user45,SIeb0xln
88,617986,3,user25,VrQ6OqWw
22,975022,2,user28,LS5b5BT4
86,289,1,user16,Nq00TpQI
61,1029575,2,user34,TJ0Tme8e
64,497,3,user83,OdHRXnzl
14,791373,1,user10,U9KyycyC
64,337404,1,user68,KiTLGMYf
23,940139,5,user36,nR60nDnW
53,1003596,4,user92,DCdx0mon
99,37165,3,user40,R1KtLyAz
80,436969,5,user71,AxDp2abQ
78,1049948,3,user85,x5T1IfHs
30,411,5,user5,1BbFS7WZ
30,20352,1,user91,ZgxUYLBG
24,24428,2,user81,9TQmHOj5
38,36670,5,user73,jcZL14V2
75,20982,5,user23,YNaC7MDy
42,545611,3,user82,sUbjV4Iy
78,335977,1,user84,GycdNNeZ
98,324552,4,user9,QvNCkjP1
83,193756,4,user43,iZncjtJb
51,603,2,user59,extpDLjJ
83,269149,1,user23,cMnuZ1Jf
4,1010600,4,user51,jsncsKKd
74,866398,5,user89,JJzzpUul
8,359940,3,user6,NrNbC2N1
71,355547,3,user77,IwwgZB7q
97,568124,2,user92,WJnP6Utr
10,1255616,2,user44,qsFgX2eM
50,967847,2,user19,dxIOjwHB
74,665,4,user26,B0ZSzw8O
66,375785,1,user66,hdwrImaK
77,810,3,user11,Sm3gIM7p
68,957119,4,user67,QBIG86ri
10,348350,2,user29,pl4OzLiI
97,2454,4,user36,1UO2TXhD
37,541671,1,user20,3FF4P3Zf
72,2062,1,user54,z5SSl9j8
23,2019,1,user57,0Z07rO3R
26,2062,3,user97,AqmdTEIB
14,592695,1,user8,53a5TG0O
34,1221404,1,user3,2wo2T4pD
21,1159311,5,user79,6sSn1gtN
87,1205317,5,user96,Sus91iqF
82,10625,2,user83,DAD0fhlD
11,36239,3,user25,ywynGwHE
74,792307,3,user71,pTvzzzLs
37,57165,4,user20,vjy0gHTv
91,585083,3,user14,wqCSevVk
